track_id,filename,title,composer,composer_full,opus,movement,movement_name,era,form,key_signature,tempo_marking,performer_id,performer_name,instrument,ensemble,recording_date,year_composed,duration_seconds,dataset_source,dataset_version,tags,difficulty_level,popular_rank
Bach_BWV849-01_001_20090916,Bach_BWV849-01_001_20090916-SMD.wav,"Well-Tempered Clavier, Book 1: Prelude and Fugue No. 4 in C# minor - Movement 01",Bach,Johann Sebastian Bach,BWV849,01,,Baroque,Prelude,C# minor,,001,,Piano,,2009-09-16,,,SMD,,"baroque,piano,classical,bach,prelude",,
Bach_BWV849-02_001_20090916,Bach_BWV849-02_001_20090916-SMD.wav,"Well-Tempered Clavier, Book 1: Prelude and Fugue No. 4 in C# minor - Movement 02",Bach,Johann Sebastian Bach,BWV849,02,,Baroque,Prelude,C# minor,,001,,Piano,,2009-09-16,,,SMD,,"baroque,piano,classical,bach,prelude",,
Bach_BWV871-01_002_20090916,Bach_BWV871-01_002_20090916-SMD.wav,"Well-Tempered Clavier, Book 2: Prelude and Fugue No. 2 in C minor - Movement 01",Bach,Johann Sebastian Bach,BWV871,01,,Baroque,Prelude,C minor,,002,,Piano,,2009-09-16,,,SMD,,"baroque,piano,classical,bach,prelude",,
Bach_BWV871-02_002_20090916,Bach_BWV871-02_002_20090916-SMD.wav,"Well-Tempered Clavier, Book 2: Prelude and Fugue No. 2 in C minor - Movement 02",Bach,Johann Sebastian Bach,BWV871,02,,Baroque,Prelude,C minor,,002,,Piano,,2009-09-16,,,SMD,,"baroque,piano,classical,bach,prelude",,
Bach_BWV875-01_002_20090916,Bach_BWV875-01_002_20090916-SMD.wav,"Well-Tempered Clavier, Book 2: Prelude and Fugue No. 6 in D minor - Movement 01",Bach,Johann Sebastian Bach,BWV875,01,,Baroque,Prelude,D minor,,002,,Piano,,2009-09-16,,,SMD,,"baroque,piano,classical,bach,prelude",,
Bach_BWV875-02_002_20090916,Bach_BWV875-02_002_20090916-SMD.wav,"Well-Tempered Clavier, Book 2: Prelude and Fugue No. 6 in D minor - Movement 02",Bach,Johann Sebastian Bach,BWV875,02,,Baroque,Prelude,D minor,,002,,Piano,,2009-09-16,,,SMD,,"baroque,piano,classical,bach,prelude",,
Bach_BWV888-01_008_20110315,Bach_BWV888-01_008_20110315-SMD.wav,Prelude and Fugue in A major - Movement 01,Bach,Johann Sebastian Bach,BWV888,01,,Baroque,Prelude,A major,,008,,Piano,,2011-03-15,,,SMD,,"baroque,piano,classical,bach,prelude",,
Bach_BWV888-02_008_20110315,Bach_BWV888-02_008_20110315-SMD.wav,Prelude and Fugue in A major - Movement 02,Bach,Johann Sebastian Bach,BWV888,02,,Baroque,Prelude,A major,,008,,Piano,,2011-03-15,,,SMD,,"baroque,piano,classical,bach,prelude",,
Bartok_SZ080-01_002_20110315,Bartok_SZ080-01_002_20110315-SMD.wav,Out of Doors - Movement 01,Bartok,Béla Bartók,SZ080,01,,Modern,,,,002,,Piano,,2011-03-15,,,SMD,,"modern,piano,classical,bartok",,
Bartok_SZ080-02_002_20110315,Bartok_SZ080-02_002_20110315-SMD.wav,Out of Doors - Movement 02,Bartok,Béla Bartók,SZ080,02,,Modern,,,,002,,Piano,,2011-03-15,,,SMD,,"modern,piano,classical,bartok",,
Bartok_SZ080-03_002_20110315,Bartok_SZ080-03_002_20110315-SMD.wav,Out of Doors - Movement 03,Bartok,Béla Bartók,SZ080,03,,Modern,,,,002,,Piano,,2011-03-15,,,SMD,,"modern,piano,classical,bartok",,
Beethoven_Op027No1-01_003_20090916,Beethoven_Op027No1-01_003_20090916-SMD.wav,Piano Sonata No. 13 in E-flat major 'Quasi una fantasia' - Movement 01,Beethoven,Ludwig van Beethoven,Op027No1,01,,Classical,Sonata,,,003,,Piano,,2009-09-16,,,SMD,,"classical,piano,classical,beethoven,sonata",,
Beethoven_Op027No1-02_003_20090916,Beethoven_Op027No1-02_003_20090916-SMD.wav,Piano Sonata No. 13 in E-flat major 'Quasi una fantasia' - Movement 02,Beethoven,Ludwig van Beethoven,Op027No1,02,,Classical,Sonata,,,003,,Piano,,2009-09-16,,,SMD,,"classical,piano,classical,beethoven,sonata",,
Beethoven_Op027No1-03_003_20090916,Beethoven_Op027No1-03_003_20090916-SMD.wav,Piano Sonata No. 13 in E-flat major 'Quasi una fantasia' - Movement 03,Beethoven,Ludwig van Beethoven,Op027No1,03,,Classical,Sonata,,,003,,Piano,,2009-09-16,,,SMD,,"classical,piano,classical,beethoven,sonata",,
Beethoven_Op031No2-01_002_20090916,Beethoven_Op031No2-01_002_20090916-SMD.wav,Piano Sonata No. 17 in D minor 'Tempest' - Movement 01,Beethoven,Ludwig van Beethoven,Op031No2,01,,Classical,Sonata,D minor,,002,,Piano,,2009-09-16,,,SMD,,"classical,piano,classical,beethoven,sonata",,
Beethoven_Op031No2-02_002_20090916,Beethoven_Op031No2-02_002_20090916-SMD.wav,Piano Sonata No. 17 in D minor 'Tempest' - Movement 02,Beethoven,Ludwig van Beethoven,Op031No2,02,,Classical,Sonata,D minor,,002,,Piano,,2009-09-16,,,SMD,,"classical,piano,classical,beethoven,sonata",,
Beethoven_Op031No2-03_002_20090916,Beethoven_Op031No2-03_002_20090916-SMD.wav,Piano Sonata No. 17 in D minor 'Tempest' - Movement 03,Beethoven,Ludwig van Beethoven,Op031No2,03,,Classical,Sonata,D minor,,002,,Piano,,2009-09-16,,,SMD,,"classical,piano,classical,beethoven,sonata",,
Beethoven_WoO080_001_20081107,Beethoven_WoO080_001_20081107-SMD.wav,32 Variations in C minor,Beethoven,Ludwig van Beethoven,WoO080,,,Classical,Variations,C minor,,001,,Piano,,2008-11-07,,,SMD,,"classical,piano,classical,beethoven,variations",,
Brahms_Op005-01_002_20110315,Brahms_Op005-01_002_20110315-SMD.wav,Piano Sonata No. 3 in F minor - Movement 01,Brahms,Johannes Brahms,Op005,01,,Romantic,Sonata,F minor,,002,,Piano,,2011-03-15,,,SMD,,"romantic,piano,classical,brahms,sonata",,
Brahms_Op010No1_003_20090916,Brahms_Op010No1_003_20090916-SMD.wav,Ballade No. 1 in D minor 'Edward',Brahms,Johannes Brahms,Op010No1,,,Romantic,Ballade,D minor,,003,,Piano,,2009-09-16,,,SMD,,"romantic,piano,classical,brahms,ballade",,
Brahms_Op010No2_003_20090916,Brahms_Op010No2_003_20090916-SMD.wav,Ballade No. 2 in D major,Brahms,Johannes Brahms,Op010No2,,,Romantic,Ballade,D major,,003,,Piano,,2009-09-16,,,SMD,,"romantic,piano,classical,brahms,ballade",,
Chopin_Op010-03_007_20100611,Chopin_Op010-03_007_20100611-SMD.wav,Chopin Op010 - Movement 03,Chopin,Frédéric Chopin,Op010,03,,Romantic,,,,007,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin",,
